"deadline_id,client_id,client_name,country,service_type,deadline_date,assigned_staff,status,completion_pct"
"D001,C001,Client Name 1,Malaysia,Tax Filing,2024-02-15,Staff Name 1,In Progress,60"
"D002,C002,Client Name 2,Singapore,Audit Report,2024-02-20,Staff Name 2,In Progress,45"
"D003,C003,Client Name 3,Singapore,Payroll Compliance,2024-02-28,Staff Name 4,Pending,0"
"D004,C001,Client Name 1,Malaysia,SSM Filing,2024-02-01,Staff Name 1,Urgent,20"
"D005,C004,Client Name 4,Malaysia,Tax Filing,2024-03-30,Staff Name 5,Planning,0"
"D006,C002,Client Name 2,Singapore,ACRA Filing,2024-02-20,Staff Name 3,In Progress,55"
"D007,C005,Client Name 5,Malaysia,Audit Report,2024-02-10,Staff Name 7,Overdue,0"
"D008,C003,Client Name 3,Singapore,Tax Filing,2024-02-22,Staff Name 6,In Progress,35"
"D009,C004,Client Name 4,Malaysia,AGM Notice,2024-03-15,Staff Name 2,Planning,0"
"D010,C005,Client Name 5,Malaysia,Annual Report,2024-02-26,Staff Name 3,Not Started,0"
